COMPANY,PKS_CODE,INSTRUMENT_SERIAL_NUMBER,OIL_WM,VM,OIL_DM,NOS,FFA,DOBI,RILL_MUTU_KADAR_AIR,INC_MUTU_KADAR_AIR
N003,CP09,,47.78,5.93,50.79,46.3,0,0,5.93,green
N003,CP09,,48.7,5.3,51.43,46,0,0,5.3,green
N003,CP02,,37.02,8.89,40.63,54.09,1.57,0,8.89,red
N003,CP02,,37,8.93,40.63,54.07,1.57,0,8.93,red
N003,CP09,,46.2,07.09,49.72,46.72,0.06,0,07.09,red
N003,CP02,,36.12,9.94,40.1,53.94,2.67,0,9.94,red
N003,CP02,,38.29,09.08,42.12,52.63,1.92,0,09.08,red
N00D,DP02,,46.13,3.65,47.87,50.22,0,0,3.65,green
[NULL],7F08,,43.79,7.15,47.16,49.06,0,0,7.15,orange
N00D,DP02,,42.85,2.96,44.16,54.18,0,0,2.96,green
N00D,DP02,,40.3,5.35,42.57,54.35,0,0,5.35,green
N00D,DP02,,41.51,7.32,44.79,51.17,0,0,7.32,red
N00D,DP02,,42.45,6.3,45.3,51.25,0,0,6.3,green
N006,FP06,,48.05,7.65,52.03,44.29,0,0,7.65,red
N006,FP06,,48.05,7.65,52.03,44.29,0,0,7.65,red
N006,FP06,,48.14,7.69,52.15,44.17,0,0,7.69,red
N006,FP06,,48.48,7.79,52.58,43.72,0,0,7.79,red
N006,FP06,,48.75,7.97,52.97,43.28,0,0,7.97,red
N00D,DP14,91870381,46.49,4.97,48.92,48.54,0,0,4.97,green
N006,FP04,,38.91,7.47,42.05,53.62,0,0,7.47,red
N006,FP04,,42.12,6.55,45.08,51.32,0,0,6.55,green
N006,FP05,,42.35,5.96,45.04,51.69,0,0,5.96,green
N00D,DP15,91870379,38.79,6.72,41.58,54.5,3.99,0,6.72,green
N006,FP04,,33.21,7.33,35.84,59.45,4.43,0,7.33,red
N006,FP04,,47.7,04.01,49.7,48.29,0.2,0,04.01,green
N003,CP09,,34.1,13.44,39.39,52.46,1.97,0,13.44,red
N006,FP11,,48.96,0.99,49.45,50.05,0,0,0.99,green
N003,CP03,,46.09,6.95,49.53,46.96,0,0,6.95,green
N006,FP05,,46.72,4.52,48.93,48.77,0,0,4.52,green
N00D,DP18,91871121,44.8,6.94,48.14,48.26,0,0,6.94,green
N003,CP09,,36.19,12.69,41.44,51.13,2.47,0,12.69,red
N00D,DP18,91871121,41.19,9.6,45.57,49.2,0,0,9.6,red
N00D,DP18,91871121,42.63,9.65,47.18,47.72,0,0,9.65,red
[NULL],7F06,,46.62,5.77,49.47,47.62,6.47,0,5.77,orange
[NULL],7F06,,46.54,5.85,49.44,47.61,6.15,0,5.85,orange
[NULL],7F06,,44.32,6.62,47.47,49.05,2.95,0,6.62,orange
[NULL],7F08,,40.22,6.21,42.88,53.57,0,0,6.21,orange
N006,FP03,,47.74,8.22,52.02,44.04,0,0,8.22,red
N006,FP03,,48.43,8.24,52.78,43.33,0,0,8.24,red
N00D,DP15,91870379,38.13,7.68,41.3,54.2,3.52,0,7.68,red
N003,CP01,91877655,42.5,5.9,45.17,51.6,0,0,5.9,green
[NULL],7F08,,38.89,5.83,41.3,55.27,0,0,5.83,orange
[NULL],7F08,,36.94,7.23,39.82,55.84,0,0,7.23,orange
[NULL],7F08,,40.1,6.93,43.09,52.96,0,0,6.93,orange
N003,CP01,91877655,44.45,5.5,47.03,50.05,0,0,5.5,green
[NULL],7F08,,41.7,4.5,43.67,53.8,0,0,4.5,orange
N00D,DP02,,43.99,6.47,47.03,49.54,0,0,6.47,green
N003,CP03,,44.12,6.38,47.13,49.5,0,0,6.38,green
N014,NP01,91872189,45.36,8.38,49.51,46.26,0,0,8.38,red
N014,NP01,91872189,34.29,8.84,37.61,56.87,0,0,8.84,red
N014,NP01,91872189,42.3,07.06,45.52,50.64,0,0,07.06,red
N00D,DP03,,38.31,7.66,41.49,54.03,02.05,0,7.66,red
N00D,DP03,,12.59,13.74,14.6,73.67,0,0,13.74,red
N006,FP04,,48.74,5.17,51.39,46.1,5.33,0,5.17,green
N006,FP04,,42.7,5.31,45.09,52,1.11,0,5.31,green
N00D,DP03,,40.31,6.12,42.94,53.56,0.66,0,6.12,green
N00D,DP03,,40.26,4.79,42.29,54.94,0.72,0,4.79,green
N00D,DP15,91870379,42.68,6.11,45.45,51.22,02.03,0,6.11,green
N006,FP11,,43.38,0.5,43.6,56.12,0,0,0.5,green
N006,FP11,,43.38,0.5,43.6,56.12,0,0,0.5,green
N006,FP03,,47.6,7.23,51.31,45.17,0,0,7.23,red
N006,FP03,,47.94,8.95,52.65,43.11,0,0,8.95,red
N003,CP03,,44.46,6.84,47.72,48.7,0,0,6.84,green
N006,FP03,,47.36,09.08,52.09,43.56,0,0,09.08,red
N006,FP03,,47.97,8.97,52.69,43.06,0,0,8.97,red
N006,FP03,,47.46,09.09,52.21,43.45,0,0,09.09,red
N006,FP03,,46.82,9.23,51.58,43.95,0,0,9.23,red
N00D,DP03,,35.89,7.92,38.97,56.2,0.59,0,7.92,red
N00D,DP03,,31.87,10.56,35.64,57.56,03.01,0,10.56,red
[NULL],7F06,,44.12,6.3,47.08,49.58,6.39,0,6.3,orange
[NULL],7F06,,41.63,7.43,44.97,50.94,6.33,0,7.43,orange
